merchant_slug,merchant_name,category,description,contact_email,contact_phone,website,zone,featured,listing_title,listing_description
nasi-lemak-nusantara,Nasi Lemak Nusantara,Malay,Fragrant coconut rice with sambal and classic Malaysian sides.,hello@nasi-lemak-nusantara.example,+60 12-1001 2001,https://nasi-lemak-nusantara.example,Zone A,yes,Nasi Lemak Nusantara,Festival favourite serving a special KL Weekend Flavours menu.
satay-bara-kl,Satay Bara KL,Malay,Charcoal-grilled satay with house-made peanut sauce.,hello@satay-bara-kl.example,+60 13-1002 2002,https://satay-bara-kl.example,Zone A,yes,Satay Bara KL,Festival favourite serving a special KL Weekend Flavours menu.
rendang-rumah-minang,Rendang Rumah Minang,Malay,Slow-cooked Minangkabau-style rendang and rice bowls.,hello@rendang-rumah-minang.example,+60 14-1003 2003,https://rendang-rumah-minang.example,Zone A,no,,
ayam-gepuk-junction,Ayam Gepuk Junction,Indonesian,Crispy smashed chicken with fiery sambal.,hello@ayam-gepuk-junction.example,+60 15-1004 2004,https://ayam-gepuk-junction.example,Zone A,no,,
warung-mee-rebus,Warung Mee Rebus,Malay,Rich sweet-potato gravy noodles with traditional garnishes.,hello@warung-mee-rebus.example,+60 16-1005 2005,https://warung-mee-rebus.example,Zone A,no,,
penang-wok-char-koay-teow,Penang Wok Char Koay Teow,Chinese,Smoky wok-fried flat noodles prepared to order.,hello@penang-wok-char-koay-teow.example,+60 17-1006 2006,https://penang-wok-char-koay-teow.example,Zone B,yes,Penang Wok Char Koay Teow,Festival favourite serving a special KL Weekend Flavours menu.
hainan-kopitiam-88,Hainan Kopitiam 88,Chinese,"Hainanese comfort food, toast, and traditional coffee.",hello@hainan-kopitiam-88.example,+60 18-1007 2007,https://hainan-kopitiam-88.example,Zone B,no,,
dragon-dumpling-house,Dragon Dumpling House,Chinese,Hand-folded dumplings with savoury fillings.,hello@dragon-dumpling-house.example,+60 11-1008 2008,https://dragon-dumpling-house.example,Zone B,no,,
uncle-lims-roast,Uncle Lim's Roast,Chinese,Cantonese roast meats served with fragrant rice.,hello@uncle-lims-roast.example,+60 12-1009 2009,https://uncle-lims-roast.example,Zone B,no,,
little-ipoh-noodles,Little Ipoh Noodles,Chinese,Ipoh-inspired shredded chicken noodles and bean sprouts.,hello@little-ipoh-noodles.example,+60 13-1010 2010,https://little-ipoh-noodles.example,Zone B,no,,
mamak-express,Mamak Express,Indian Muslim,"Fresh roti, curry, and wok-fried mamak favourites.",hello@mamak-express.example,+60 14-1011 2011,https://mamak-express.example,Zone C,yes,Mamak Express,Festival favourite serving a special KL Weekend Flavours menu.
spice-route-briyani,Spice Route Briyani,Indian,Aromatic dum briyani with tender meats and vegetables.,hello@spice-route-briyani.example,+60 15-1012 2012,https://spice-route-briyani.example,Zone C,no,,
banana-leaf-brothers,Banana Leaf Brothers,Indian,South Indian banana leaf rice with rotating curries.,hello@banana-leaf-brothers.example,+60 16-1013 2013,https://banana-leaf-brothers.example,Zone C,no,,
tandoor-lane,Tandoor Lane,Indian,"Clay-oven grilled meats, naan, and mint chutney.",hello@tandoor-lane.example,+60 17-1014 2014,https://tandoor-lane.example,Zone C,no,,
chaat-street-kl,Chaat Street KL,Indian,Colourful Indian street snacks with tangy chutneys.,hello@chaat-street-kl.example,+60 18-1015 2015,https://chaat-street-kl.example,Zone C,no,,
seoul-bites,Seoul Bites,Korean,Korean street food with bold sauces and crispy textures.,hello@seoul-bites.example,+60 11-1016 2016,https://seoul-bites.example,Zone D,yes,Seoul Bites,Festival favourite serving a special KL Weekend Flavours menu.
tokyo-grill-box,Tokyo Grill Box,Japanese,Japanese grilled rice boxes and savoury snacks.,hello@tokyo-grill-box.example,+60 12-1017 2017,https://tokyo-grill-box.example,Zone D,no,,
thai-basil-kitchen,Thai Basil Kitchen,Thai,"Bright Thai flavours featuring basil, lime, and chilli.",hello@thai-basil-kitchen.example,+60 13-1018 2018,https://thai-basil-kitchen.example,Zone D,no,,
saigon-rolls,Saigon Rolls,Vietnamese,"Fresh Vietnamese rolls, noodles, and herbs.",hello@saigon-rolls.example,+60 14-1019 2019,https://saigon-rolls.example,Zone D,no,,
taipei-night-snacks,Taipei Night Snacks,Taiwanese,Taiwan night-market favourites and crunchy snacks.,hello@taipei-night-snacks.example,+60 15-1020 2020,https://taipei-night-snacks.example,Zone D,no,,
burger-bengkel,Burger Bengkel,Burgers,Hand-smashed burgers with Malaysian-inspired toppings.,hello@burger-bengkel.example,+60 16-1021 2021,https://burger-bengkel.example,Zone E,yes,Burger Bengkel,Festival favourite serving a special KL Weekend Flavours menu.
firewood-pizza-co,Firewood Pizza Co.,Pizza,Artisan pizzas baked in a mobile firewood oven.,hello@firewood-pizza-co.example,+60 17-1022 2022,https://firewood-pizza-co.example,Zone E,no,,
taco-lokal,Taco Lokal,Mexican,Soft tacos filled with locally inspired flavours.,hello@taco-lokal.example,+60 18-1023 2023,https://taco-lokal.example,Zone E,no,,
smokehouse-yard,Smokehouse Yard,BBQ,Low-and-slow smoked meats with house pickles.,hello@smokehouse-yard.example,+60 11-1024 2024,https://smokehouse-yard.example,Zone E,no,,
loaded-fries-lab,Loaded Fries Lab,Snacks,Crispy fries piled with playful toppings and sauces.,hello@loaded-fries-lab.example,+60 12-1025 2025,https://loaded-fries-lab.example,Zone E,no,,
teh-tarik-studio,Teh Tarik Studio,Drinks,Modern takes on Malaysian pulled tea.,hello@teh-tarik-studio.example,+60 13-1026 2026,https://teh-tarik-studio.example,Zone F,yes,Teh Tarik Studio,Festival favourite serving a special KL Weekend Flavours menu.
kopi-kecil,Kopi Kecil,Coffee,Small-batch Malaysian coffee and chilled espresso drinks.,hello@kopi-kecil.example,+60 14-1027 2027,https://kopi-kecil.example,Zone F,no,,
matcha-mori,Matcha Mori,Drinks,Premium matcha drinks whisked fresh to order.,hello@matcha-mori.example,+60 15-1028 2028,https://matcha-mori.example,Zone F,no,,
