merchant_slug,title,description,terms,type,discount_percent,discount_amount,min_spend,total_quantity,per_visitor_limit,starts_date,ends_date,status
nasi-lemak-nusantara,15% Off at Nasi Lemak Nusantara,Enjoy 15% off one order from Nasi Lemak Nusantara.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_percent,15,,15.00,75,1,2026-08-21,2026-08-23,active
satay-bara-kl,RM8 Off at Satay Bara KL,Save RM8 on one qualifying order from Satay Bara KL.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_amount,,8.00,32.00,100,1,2026-08-21,2026-08-23,active
rendang-rumah-minang,Free Festival Treat from Rendang Rumah Minang,Receive a complimentary selected treat with a qualifying purchase from Rendang Rumah Minang.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,freebie,,,18.00,125,1,2026-08-21,2026-08-23,active
ayam-gepuk-junction,Buy One Get One at Ayam Gepuk Junction,Buy one selected item and receive a second selected item free at Ayam Gepuk Junction.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bogo,,,,150,1,2026-08-21,2026-08-23,active
warung-mee-rebus,Festival Bundle at Warung Mee Rebus,Unlock a special two-item festival bundle from Warung Mee Rebus.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bundle,,,20.00,50,1,2026-08-21,2026-08-23,active
penang-wok-char-koay-teow,10% Off at Penang Wok Char Koay Teow,Enjoy 10% off one order from Penang Wok Char Koay Teow.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_percent,10,,15.00,75,1,2026-08-21,2026-08-23,active
hainan-kopitiam-88,RM5 Off at Hainan Kopitiam 88,Save RM5 on one qualifying order from Hainan Kopitiam 88.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_amount,,5.00,20.00,100,1,2026-08-21,2026-08-23,active
dragon-dumpling-house,Free Festival Treat from Dragon Dumpling House,Receive a complimentary selected treat with a qualifying purchase from Dragon Dumpling House.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,freebie,,,18.00,125,1,2026-08-21,2026-08-23,active
uncle-lims-roast,Buy One Get One at Uncle Lim's Roast,Buy one selected item and receive a second selected item free at Uncle Lim's Roast.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bogo,,,,150,1,2026-08-21,2026-08-23,active
little-ipoh-noodles,Festival Bundle at Little Ipoh Noodles,Unlock a special two-item festival bundle from Little Ipoh Noodles.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bundle,,,20.00,50,1,2026-08-21,2026-08-23,active
mamak-express,20% Off at Mamak Express,Enjoy 20% off one order from Mamak Express.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_percent,20,,15.00,75,1,2026-08-21,2026-08-23,active
spice-route-briyani,RM3 Off at Spice Route Briyani,Save RM3 on one qualifying order from Spice Route Briyani.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_amount,,3.00,12.00,100,1,2026-08-21,2026-08-23,active
banana-leaf-brothers,Free Festival Treat from Banana Leaf Brothers,Receive a complimentary selected treat with a qualifying purchase from Banana Leaf Brothers.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,freebie,,,18.00,125,1,2026-08-21,2026-08-23,active
tandoor-lane,Buy One Get One at Tandoor Lane,Buy one selected item and receive a second selected item free at Tandoor Lane.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bogo,,,,150,1,2026-08-21,2026-08-23,active
chaat-street-kl,Festival Bundle at Chaat Street KL,Unlock a special two-item festival bundle from Chaat Street KL.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bundle,,,20.00,50,1,2026-08-21,2026-08-23,active
seoul-bites,15% Off at Seoul Bites,Enjoy 15% off one order from Seoul Bites.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_percent,15,,15.00,75,1,2026-08-21,2026-08-23,active
tokyo-grill-box,RM8 Off at Tokyo Grill Box,Save RM8 on one qualifying order from Tokyo Grill Box.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,discount_amount,,8.00,32.00,100,1,2026-08-21,2026-08-23,active
thai-basil-kitchen,Free Festival Treat from Thai Basil Kitchen,Receive a complimentary selected treat with a qualifying purchase from Thai Basil Kitchen.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,freebie,,,18.00,125,1,2026-08-21,2026-08-23,active
saigon-rolls,Buy One Get One at Saigon Rolls,Buy one selected item and receive a second selected item free at Saigon Rolls.,One redemption per visitor. Valid during KL Weekend Flavours 2026 while allocation lasts.,bogo,,,,150,1,2026-08-21,2026-08-23,active
