merchant_slug,item_name,description,price,promo_price,currency,dietary_tags,is_halal,availability,display_order
nasi-lemak-nusantara,Classic Nasi Lemak,"Coconut rice, sambal, anchovies, peanuts, egg, and cucumber.",12.00,10.00,MYR,spicy;contains nuts,yes,available,1
nasi-lemak-nusantara,Nasi Lemak Ayam Berempah,Classic nasi lemak topped with aromatic fried chicken.,18.00,,MYR,spicy;contains nuts,yes,available,2
satay-bara-kl,Chicken Satay Set,"Eight skewers with peanut sauce, cucumber, and rice cakes.",14.00,,MYR,contains nuts,yes,available,1
satay-bara-kl,Beef Satay Set,Eight smoky beef skewers with traditional accompaniments.,16.00,14.00,MYR,contains nuts,yes,available,2
rendang-rumah-minang,Beef Rendang Bowl,Slow-cooked beef rendang with steamed rice.,19.00,,MYR,spicy,yes,available,1
rendang-rumah-minang,Mushroom Rendang Bowl,Plant-based mushroom rendang with steamed rice.,15.00,,MYR,spicy;vegetarian,yes,available,2
ayam-gepuk-junction,Ayam Gepuk Original,"Crispy chicken, rice, tofu, tempeh, and sambal.",17.00,,MYR,spicy,yes,available,1
ayam-gepuk-junction,Ayam Gepuk Extra Sambal,Original set with an extra scoop of fiery sambal.,19.00,17.00,MYR,very spicy,yes,available,2
warung-mee-rebus,Classic Mee Rebus,Yellow noodles in thick sweet-potato gravy.,11.00,,MYR,contains egg,yes,available,1
warung-mee-rebus,Mee Rebus Daging,Classic mee rebus topped with tender beef slices.,15.00,,MYR,contains egg,yes,available,2
penang-wok-char-koay-teow,Char Koay Teow,"Wok-fried noodles with prawns, cockles, egg, and chives.",13.00,,MYR,contains shellfish,no,available,1
penang-wok-char-koay-teow,Duck Egg Special,Char koay teow with duck egg and extra prawns.,17.00,15.00,MYR,contains shellfish,no,available,2
hainan-kopitiam-88,Hainanese Chicken Chop,"Crispy chicken chop with brown sauce, peas, and potatoes.",18.00,,MYR,,yes,available,1
hainan-kopitiam-88,Kaya Butter Toast,Charcoal toast with kaya and cold butter.,6.00,,MYR,vegetarian;contains dairy,yes,available,2
dragon-dumpling-house,Pan-Fried Chicken Dumplings,Six crispy-bottomed chicken dumplings.,12.00,,MYR,contains gluten,yes,available,1
dragon-dumpling-house,Vegetable Dumplings,"Six dumplings filled with cabbage, mushroom, and chives.",10.00,,MYR,vegetarian;contains gluten,yes,available,2
uncle-lims-roast,Roast Chicken Rice,Cantonese roast chicken with rice and greens.,14.00,,MYR,,yes,available,1
uncle-lims-roast,Honey Char Siu Rice,Caramelised pork char siu with fragrant rice.,16.00,,MYR,,no,available,2
little-ipoh-noodles,Ipoh Shredded Chicken Hor Fun,Silky rice noodles in chicken and prawn broth.,13.00,,MYR,contains shellfish,yes,available,1
